noaa_station_id,nws_station_id,noaa_station_name,nws_station_name,display_name,lat,lon,state,station_type,supports_water_level,distance_km
8764314,KP92,"Eugene Island, North of, Atchafalaya Bay",Salt Point,"Eugene Island, North of, Atchafalaya Bay (8764314)",29.3675,-91.3839,Louisiana,Unknown,False,27.1
8766072,K7R4,Freshwater Canal Locks,Intracoastal City,Freshwater Canal Locks (8766072),29.551695,-92.30519,Louisiana,Unknown,False,30.63
8767816,KCWF,Lake Charles,Chenault Airpark,Lake Charles (8767816),30.223612,-93.221664,Louisiana,Unknown,False,6.9
8767961,KLCH,Bulk Terminal,Lake Charles Regional Airport,Bulk Terminal (8767961),30.1903,-93.3007,Louisiana,Unknown,False,11.01
8768094,K7R5,Calcasieu Pass,Cameron Heliport,Calcasieu Pass (8768094),29.768167,-93.34289,Louisiana,Unknown,False,4.46
8770475,KBPT,Port Arthur,"Beaumont/Port Arthur, SE Texas Regional Airport",Port Arthur (8770475),29.8667,-93.93,Louisiana,Unknown,False,12.69
8770520,KORG,Rainbow Bridge,Orange County Airport,Rainbow Bridge (8770520),29.98,-93.8817,Louisiana,Unknown,False,12.47
8770613,KEFD,"Morgans Point, Barbours Cut",Houston / Ellington,"Morgans Point, Barbours Cut (8770613)",29.681667,-94.985,Louisiana,Unknown,False,19.15
8770777,KHOU,Manchester,Houston Hobby Airport,Manchester (8770777),29.7263,-95.2658,Louisiana,Unknown,False,8.59
8770808,KRPE,High Island,Sabine Pass,High Island (8770808),29.5947,-94.3903,Louisiana,Unknown,False,44.13
8770822,KRPE,"Texas Point, Sabine Pass",Sabine Pass,"Texas Point, Sabine Pass (8770822)",29.6893,-93.8418,Louisiana,Unknown,False,10.52
8770971,KGLS,Rollover Pass,"Galveston, Scholes Field",Rollover Pass (8770971),29.515,-94.5133,Louisiana,Unknown,False,44.0
8771013,KGLS,"Eagle Point, Galveston Bay","Galveston, Scholes Field","Eagle Point, Galveston Bay (8771013)",29.481306,-94.91725,Louisiana,Unknown,False,23.94
8771341,KGLS,"Galveston Bay Entrance, North Jetty","Galveston, Scholes Field","Galveston Bay Entrance, North Jetty (8771341)",29.357462,-94.724724,Louisiana,Unknown,False,17.12
8771367,KRPE,Sabine Offshore Light,Sabine Pass,Sabine Offshore Light (8771367),29.469,-93.72,Louisiana,Unknown,False,33.98
8771450,KGLS,Galveston Pier 21,"Galveston, Scholes Field",Galveston Pier 21 (8771450),29.31,-94.793304,Louisiana,Unknown,False,8.67
8771486,KGLS,Galveston Railroad Bridge,"Galveston, Scholes Field",Galveston Railroad Bridge (8771486),29.3026,-94.8971,Louisiana,Unknown,False,4.48
8771972,KGLS,San Luis Pass,"Galveston, Scholes Field",San Luis Pass (8771972),29.095,-95.1133,Louisiana,Unknown,False,30.6
8772471,KLBX,Freeport Harbor,"Angleton / Lake Jackson, Brazoria County Airport",Freeport Harbor (8772471),28.9357,-95.2942,Louisiana,Unknown,False,26.69
8772985,KBYY,Sargent,Bay City,Sargent (8772985),28.771639,-95.61684,Louisiana,Unknown,False,32.8
8773037,KPKV,Seadrift,Calhoun County Airport,Seadrift (8773037),28.4069,-96.7124,Texas,Unknown,False,27.39
8773146,KBYY,Matagorda City,Bay City,Matagorda City (8773146),28.71,-95.9139,Louisiana,Unknown,False,29.66
8773259,KPKV,Port Lavaca,Calhoun County Airport,Port Lavaca (8773259),28.6406,-96.6098,Texas,Unknown,False,5.68
8773701,KPSX,Port O'Connor,Palacios Municipal Airport,Port O'Connor (8773701),28.4517,-96.3883,Louisiana,Unknown,False,32.75
8773767,KPSX,Matagorda Bay Entrance Channel,Palacios Municipal Airport,Matagorda Bay Entrance Channel (8773767),28.4269,-96.3301,Louisiana,Unknown,False,33.52
8774230,KRKP,Aransas Wildlife Refuge,"Rockport, Aransas County Airport",Aransas Wildlife Refuge (8774230),28.2283,-96.795,Texas,Unknown,False,29.35
8774513,KRKP,Copano Bay,"Rockport, Aransas County Airport",Copano Bay (8774513),28.118305,-97.0217,Texas,Unknown,False,4.2
8774770,KRKP,Rockport,"Rockport, Aransas County Airport",Rockport (8774770),28.021667,-97.04667,Texas,Unknown,False,7.61
8775132,K2R8,La Quinta Channel North,Mustang Beach Airport,La Quinta Channel North (8775132),27.8804,-97.2735,Texas,Unknown,False,20.01
8775222,KCRP,Viola Turning Basin,Corpus Christi International Airport,Viola Turning Basin (8775222),27.8461,-97.5207,Texas,Unknown,False,8.7
8775237,K2R8,Port Aransas,Mustang Beach Airport,Port Aransas (8775237),27.8397,-97.0725,Texas,Unknown,False,2.73
8775241,K2R8,"Aransas, Aransas Pass",Mustang Beach Airport,"Aransas, Aransas Pass (8775241)",27.8366,-97.0391,Texas,Unknown,False,4.84
8775283,K2R8,"Enbridge, Ingleside",Mustang Beach Airport,"Enbridge, Ingleside (8775283)",27.818611,-97.20895,Texas,Unknown,False,12.39
